,Pressure,Temperature,Timestamp
0,1020.354919,42.86000061,32:53.4
1,1020.365295,42.86000061,32:54.5
2,1020.354858,42.84999847,32:55.6
3,1020.317566,42.84999847,32:56.6
4,1020.314453,42.84999847,32:57.6
5,1020.312683,42.84999847,32:58.7
6,1020.311462,42.84000015,32:59.7
7,1020.317322,42.84999847,33:00.7
8,1020.283508,42.84000015,33:01.8
9,1020.283386,42.84000015,33:02.8
10,1020.269043,42.84000015,33:03.8
11,1020.26593,42.84000015,33:04.9
12,1020.255005,42.83000183,33:06.0
13,1020.281433,42.84000015,33:07.0
14,1020.284912,42.84000015,33:08.1
15,1020.263672,42.84000015,33:09.3
16,1020.245789,42.83000183,33:10.4
17,1020.224548,42.83000183,33:11.5
18,1020.247559,42.83000183,33:12.5
19,1020.206177,42.81999969,33:13.6
20,1020.226501,42.83000183,33:14.7
21,1020.205139,42.83000183,33:15.7
22,1020.203308,42.81999969,33:16.7
23,1020.176147,42.81000137,33:17.8
24,1020.199768,42.81999969,33:18.8
25,1020.183289,42.81000137,33:19.8
26,1020.154541,42.81000137,33:20.9
27,1020.16687,42.81000137,33:21.9
28,1020.161926,42.81000137,33:23.0
29,1020.165466,42.81000137,33:24.0
30,1020.168884,42.81000137,33:25.0
31,1020.123901,42.79999924,33:26.1
32,1020.11908,42.79999924,33:27.1
33,1020.100952,42.79999924,33:28.1
34,1020.063904,42.77000046,33:29.2
35,1020.118103,42.79000092,33:30.2
36,1020.100952,42.79000092,33:31.3
37,1020.120056,42.79000092,33:32.3
38,1020.09845,42.77999878,33:33.3
39,1020.094971,42.77999878,33:34.4
40,1020.095459,42.79000092,33:35.4
41,1020.077026,42.77999878,33:36.4
42,1020.052979,42.79000092,33:37.4
43,1020.039673,42.77999878,33:38.5
44,1020.06427,42.77000046,33:39.5
45,1020.075256,42.77999878,33:40.6
46,1020.05188,42.77000046,33:41.6
47,1020.032349,42.77000046,33:42.7
48,1020.034302,42.77000046,33:43.7
49,1020.023926,42.77000046,33:44.7
50,1020.025146,42.77000046,33:45.8
51,1020.007324,42.75999832,33:46.8
52,1020.012817,42.77000046,33:47.9
53,1020.009399,42.77000046,33:48.9
54,1019.980286,42.75,33:49.9
55,1020.008911,42.75999832,33:51.0
56,1019.989014,42.75,33:52.0
57,1019.997498,42.75,33:53.0
58,1020.008301,42.75,33:54.1
59,1019.95813,42.74000168,33:55.1
60,1019.981873,42.75,33:56.2
61,1019.958252,42.74000168,33:57.3
62,1019.9729,42.75,33:58.3
63,1019.943726,42.72999954,33:59.3
64,1019.947449,42.72999954,34:00.3
65,1019.925964,42.72999954,34:01.4
66,1019.941895,42.72999954,34:02.4
67,1019.931091,42.72999954,34:03.5
68,1019.915527,42.72999954,34:04.5
69,1019.874084,42.68999863,34:05.5
70,1019.897339,42.72000122,34:06.5
71,1019.936462,42.72999954,34:07.6
72,1019.916748,42.72000122,34:08.6
73,1019.913147,42.72000122,34:09.7
74,1019.89502,42.70999908,34:10.8
75,1019.911194,42.72000122,34:11.9
76,1019.875061,42.70999908,34:13.0
77,1019.885803,42.70999908,34:14.0
78,1019.877014,42.70999908,34:15.1
79,1019.868774,42.70999908,34:16.1
80,1019.875061,42.70999908,34:17.2
81,1019.875061,42.70999908,34:18.2
82,1019.869873,42.70999908,34:19.2
83,1019.858582,42.70000076,34:20.3
84,1019.873108,42.70000076,34:21.3
85,1019.844849,42.70000076,34:22.3
86,1019.828674,42.70000076,34:23.4
87,1019.829712,42.68999863,34:24.5
